Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Jania,NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,Apple Apple TV 4 Apple TV,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2021-07-15T03:41:42.852Z,2022-01-05T07:27:50.472Z,2021-07-15T03:41:42.852Z,2022-01-05T07:27:50.472Z,
Amy,NFCDSF-PH-HXAGV8379514TKW24C6DXJQW7WAU9N,Netflix iPhone-Safari iPhone,,,,,,,,,
Raj,NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,Firefox PC (Cadmium),2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,
Amy,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2019-12-29T16:21:38.576Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,
Big Mummy,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,FireTV Stick 2016,2019-12-12T10:40:42.849Z,2022-01-04T16:03:08.822Z,2020-01-06T13:18:53.453Z,2022-01-04T16:03:08.822Z,2019-12-12T10:40:42.849Z,2022-01-04T16:03:08.822Z,2020-01-15T15:55:13.765Z,2022-01-04T16:03:08.822Z,
Jania,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-07-11T09:57:02.918Z,2022-01-04T15:48:41.674Z,2021-07-11T09:57:02.918Z,2022-01-04T15:48:41.674Z,
Amy,NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,Apple Apple TV 4 Apple TV,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-01-12T14:38:54.688Z,2022-01-04T11:29:49.085Z,2020-01-12T14:38:54.688Z,2022-01-04T11:29:49.085Z,
Jania,NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,Edge OSS - Windows (Cadmium),2021-04-12T05:50:02.890Z,2022-01-04T11:15:16.223Z,2021-04-12T06:31:11.961Z,2022-01-04T11:15:16.223Z,2021-07-14T17:05:15.515Z,2022-01-04T11:15:16.223Z,2021-07-14T17:05:54.204Z,2022-01-04T11:15:16.223Z,
Jania,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2021-07-11T08:18:20.493Z,2022-01-03T05:03:46.042Z,2021-07-11T08:18:20.493Z,2022-01-02T13:52:03.910Z,
Raj,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,
Amy,NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,Apple iPhone 11,2021-07-23T17:50:34.289Z,2022-01-02T11:17:02.515Z,2021-07-23T17:50:34.289Z,2022-01-02T11:17:02.515Z,2021-07-23T17:50:34.289Z,2022-01-02T11:17:02.515Z,2021-07-23T17:50:34.289Z,2022-01-02T11:17:02.515Z,
Daddy,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,2021-10-16T06:17:31.930Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,
Daddy,NFCDSF-PH-HX11MT1PT49F1XY8042FLP1EJPAE77,Netflix iPhone-Safari iPhone,,,,,,,,,
Amy,NFCDSF-PH-HX11MT1PT49F1XY8042FLP1EJPAE77,Netflix iPhone-Safari iPhone,,,,,,,,,
Amy,NFCDSF-PH-HX10QXCRNL3A8YV68Q06DY0VDANU16,Netflix iPhone-Safari iPhone,,,,,,,,,
Big Mummy,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,
Big Mummy,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Daddy,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Jania,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Amy,NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,DefaultWidevineAndroidPhone,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,2022-01-03T04:48:08.771Z,,,,,
Amy,NFCDOT-AP-HX03QZQF008LMWDJAQG386J2QQG8N9,Netflix Android Phone Other HTML 5,,,,,,,,,
Daddy,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2019-05-08T08:41:45.236Z,2021-12-31T07:59:58.534Z,2020-01-19T15:29:57.797Z,2021-12-28T02:37:56.436Z,
Amy,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,FireTV Stick 2016,2019-12-12T10:40:42.849Z,2022-01-04T16:03:08.822Z,2020-01-06T13:18:53.453Z,2022-01-04T16:03:08.822Z,2020-01-04T09:50:34.016Z,2021-12-30T14:58:12.744Z,2020-01-06T13:18:53.453Z,2021-12-29T08:54:17.615Z,
Raj,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2020-03-31T05:53:03.843Z,2021-12-27T12:01:56.089Z,2020-03-31T05:53:13.301Z,2021-05-31T15:34:47.322Z,
Amy,NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,Edge OSS - Windows (Cadmium),2021-04-12T05:50:02.890Z,2022-01-04T11:15:16.223Z,2021-04-12T06:31:11.961Z,2022-01-04T11:15:16.223Z,2021-04-12T05:50:02.890Z,2021-12-25T09:02:08.136Z,2021-04-12T06:31:11.961Z,2021-12-25T09:02:08.136Z,
Amy,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2021-12-25T08:37:08.623Z,2021-05-31T18:55:02.105Z,2021-12-25T08:37:08.623Z,
Big Mummy,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,FireTV 4K Stick 2018,2019-05-08T08:41:45.236Z,2022-01-04T16:45:44.192Z,2020-01-13T09:28:34.156Z,2022-01-04T16:45:44.192Z,2020-06-04T08:40:22.549Z,2021-12-21T13:57:37.763Z,2020-06-04T08:40:42.584Z,2021-01-11T14:58:20.327Z,
Daddy,NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,Apple Apple TV 4 Apple TV,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-03-15T16:52:24.562Z,2021-11-28T11:06:06.251Z,2020-03-15T16:52:24.562Z,2021-11-28T11:06:06.251Z,
Daddy,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Jania,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Raj,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Amy,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,2021-09-30T05:20:43.352Z,2022-01-01T10:56:11.221Z,,,,,
Amy,NFCDSF-PH-HPMV9HYX9WGGQ7YM4Q2X9T4QCA3WXR,Netflix iPhone-Safari iPhone,,,,,,,,,
Daddy,NFCDSF-PH-HPMV9HYX9WGGQ7YM4Q2X9T4QCA3WXR,Netflix iPhone-Safari iPhone,,,,,,,,,
Jania,NFCDSF-PH-HPMV9HYX9WGGQ7YM4Q2X9T4QCA3WXR,Netflix iPhone-Safari iPhone,,,,,,,,,
Big Mummy,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,2021-10-16T06:15:40.450Z,2021-10-16T06:16:12.117Z,,,
Amy,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,,,,,
Raj,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,,,,,
Jania,NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 13 Pro,2021-10-16T06:15:40.450Z,2022-01-02T08:12:40.586Z,2021-10-22T18:06:38.333Z,2021-12-20T18:08:06.802Z,,,,,
Amy,WWW-BROWSE-H7NVCR7005P2ML250RYX84G39RNKEM,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Jania,NFANDROID1-PRV-T-L3-AMAZOKFMUWI-4445-0B851328C6C89DE417134380DD647EB1E831DEA0316A069384F4F8FD557DCDA2A,Android DefaultWidevineL3Tablet Android Tablet,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,
Amy,NFANDROID1-PRV-T-L3-AMAZOKFMUWI-4445-0B851328C6C89DE417134380DD647EB1E831DEA0316A069384F4F8FD557DCDA2A,Android DefaultWidevineL3Tablet Android Tablet,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,2021-10-05T12:58:36.122Z,2021-10-06T05:28:15.887Z,,,,,
Amy,NFCDCH-02-HNNV3A46ATHFVT4MEGWEUD35LJUXJM,Chrome PC (Cadmium),,,,,,,,,
Jania,NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 11,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,,,,,
Daddy,NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 11,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,
Amy,NFCDCH-02-HMEEZ8VLYFU68HAUP2TM3P1RQQJLQL,Chrome PC (Cadmium),,,,,,,,,
Amy,NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 11,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,,,,,
Amy,WWW-BROWSE-HKWWAU2F40LLJ5HF50XA94FE2NJNCT,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Daddy,NFAPPL-02-IPHONE12=1-E6A8FE71C6673D0E3FB6A7DA6AB2EED0FE6D2C4B95EE2B1A1DA1B03A1738C92D,Apple iPhone 11,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,
Raj,NFANDROID1-PRV-P-L3-SAMSUSM-A505F-8158-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,Android DefaultWidevineL3Phone Android Phone,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,
Daddy,NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,Edge OSS - Windows (Cadmium),2021-04-12T05:50:02.890Z,2022-01-04T11:15:16.223Z,2021-04-12T06:31:11.961Z,2022-01-04T11:15:16.223Z,2021-08-23T07:43:13.446Z,2021-08-23T07:43:13.446Z,,,
Daddy,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-08-07T18:40:38.515Z,2021-08-07T18:41:06.432Z,2021-08-07T18:41:06.432Z,2021-08-07T18:41:06.432Z,
Amy,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-8158-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,
