Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Big Mummy,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,,,,,
Raj,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,,,,,
Big Mummy,NFANDROID1-PRV-P-L3-SAMSUSM-J600G-8158-09CA744BE3C79741B4205EF65B9D7F92D7595BF7BC4B1F60D799AC75A7392C54B,Android DefaultWidevineL3Phone Android Phone,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,
Amy,WWW-BROWSE-HGEZ84CG1J5CPXM5EGX1VT28G9X6YV,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Amy,NFANDROID1-PRV-P-L3-SAMSUSM-J600G-8158-09CA744BE3C79741B4205EF65B9D7F92D7595BF7BC4B1F60D799AC75A7392C54B,Android DefaultWidevineL3Phone Android Phone,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,,,,,
Amy,NFAPPL-02-IPHONE9=3-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 7 (GSM),2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,
Big Mummy,NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,Edge OSS - Windows (Cadmium),2021-04-12T05:50:02.890Z,2022-01-04T11:15:16.223Z,2021-04-12T06:31:11.961Z,2022-01-04T11:15:16.223Z,2021-05-23T08:12:16.091Z,2021-05-24T04:49:03.100Z,2021-05-23T08:12:16.091Z,2021-05-24T04:34:37.900Z,
Amy,NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,Firefox PC (Cadmium),2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,,,,,
Raj,NFCDFF-LX-H9WWCMH8TM6MKK16710CUNUGVX704D,Netflix Linux Firefox Other,2021-05-14T12:48:45.196Z,2021-05-14T19:30:31.305Z,2021-05-14T12:49:01.780Z,2021-05-14T19:30:31.305Z,2021-05-14T12:48:45.196Z,2021-05-14T19:30:31.305Z,2021-05-14T12:49:01.780Z,2021-05-14T19:30:31.305Z,
Amy,NFCDFF-LX-H9WWCMH8TM6MKK16710CUNUGVX704D,Netflix Linux Firefox Other,2021-05-14T12:48:45.196Z,2021-05-14T19:30:31.305Z,2021-05-14T12:49:01.780Z,2021-05-14T19:30:31.305Z,,,,,
Raj,NFCDFF-LX-H9QXDJJR7G1R8MXD4N4PL762VLV3HU,Netflix Linux Firefox Other,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,
Amy,NFCDFF-LX-H9QXDJJR7G1R8MXD4N4PL762VLV3HU,Netflix Linux Firefox Other,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,,,,,
Raj,NFCDFF-LX-H9N10AV1AARJ9XMLLK9F2MLWTWU5AJ,Netflix Linux Firefox Other,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,
Amy,NFCDFF-LX-H9N10AV1AARJ9XMLLK9F2MLWTWU5AJ,Netflix Linux Firefox Other,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,2021-05-11T13:22:00.605Z,2021-05-11T17:11:26.032Z,,,,,
Raj,NFCDFF-LX-GK8LLJWYUX7QDVR125FTUDLU65UE97,Netflix Linux Firefox Other,2020-09-25T15:35:51.474Z,2021-05-10T12:49:28.529Z,2020-09-25T15:35:51.474Z,2021-05-10T12:49:28.529Z,2020-09-25T16:06:23.482Z,2021-05-10T12:49:28.529Z,2020-09-25T16:06:23.482Z,2021-05-10T12:49:28.529Z,
Amy,NFAPPL-02-IPHONE10=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,Apple iPhone 8 (CDMA),2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,2021-01-11T17:42:46.061Z,2021-05-08T20:02:58.931Z,
Raj,NFCDFF-LX-H9DDQDMM2X8RC47K5VXPPQ3Y88W6T0,Netflix Linux Firefox Other,,,,,,,,,
Amy,NFCDFF-LX-H9DDQDMM2X8RC47K5VXPPQ3Y88W6T0,Netflix Linux Firefox Other,,,,,,,,,
Raj,NFCDFF-LX-H9DDM1PW2J1Y180CAE1EF9YC1LG2XU,Netflix Linux Firefox Other,,,,,,,,,
Amy,NFCDFF-LX-H9DDM1PW2J1Y180CAE1EF9YC1LG2XU,Netflix Linux Firefox Other,,,,,,,,,
Amy,NFCDFF-LX-H9DDL4GXY08PKKL155HR1GCCANMA7T,Netflix Linux Firefox Other,,,,,,,,,
Raj,NFUWA-001-FFA2C12BFC7C6C09D293D55DCF4D78BEC2C29613999B843B85BD6EF096A26251,Netflix Windows App - Cadmium Windows Mobile,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,2020-03-19T09:24:47.390Z,2021-03-29T14:49:32.428Z,
Amy,NFCDFF-LX-GK8LLJWYUX7QDVR125FTUDLU65UE97,Netflix Linux Firefox Other,2020-09-25T15:35:51.474Z,2021-05-10T12:49:28.529Z,2020-09-25T15:35:51.474Z,2021-05-10T12:49:28.529Z,2020-09-25T15:35:51.474Z,2021-03-16T10:49:54.581Z,2020-09-25T15:35:51.474Z,2021-03-16T10:49:54.581Z,
Amy,NFANDROID2-PRV-ACTOTT-SKYWOACT4K1007-11189-92E605482AE96BBA93BBC8D2D37C6C530711C7F83A6135D2A3E5AC69A266B882,ACT ACTOTT Set Top Box,2021-01-09T16:57:27.662Z,2021-03-05T15:55:30.489Z,2021-01-09T17:11:09.514Z,2021-03-05T15:55:30.489Z,2021-02-25T06:50:15.482Z,2021-03-05T15:55:30.489Z,2021-02-25T06:50:15.482Z,2021-03-05T15:55:30.489Z,
Raj,NFANDROID1-PRV-P-L3-SAMSUSM-A207F-8158-0F7C03AB9605A455B0A1F7484A0DFD07739602B8A13DE27B663971A2D5B320000,Android DefaultWidevineL3Phone Android Phone,2020-11-29T10:57:30.303Z,2021-02-26T11:00:36.478Z,2020-11-29T10:57:30.303Z,2021-02-26T11:00:36.478Z,2021-02-22T16:14:19.857Z,2021-02-26T11:00:36.478Z,2021-02-22T16:14:19.857Z,2021-02-26T11:00:36.478Z,
Amy,NFAPPL-01-IPAD4=7-D0DC3809E80C3032A1126B57EBD177058101E2DD76249E8CB8B5D82BB80208DB,Apple iPad Mini 3 (WiFi) iPad,2021-02-23T19:10:20.112Z,2021-03-06T04:16:46.821Z,2021-02-23T19:10:20.112Z,2021-03-06T04:16:46.821Z,2021-02-23T19:10:20.112Z,2021-03-06T04:16:46.821Z,2021-02-23T19:10:20.112Z,2021-03-06T04:16:46.821Z,
Big Mummy,NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,Apple Apple TV 4 Apple TV,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-10-09T15:30:14.445Z,2021-02-03T10:51:49.070Z,2021-02-03T08:48:01.229Z,2021-02-03T10:51:49.070Z,
Daddy,NFANDROID2-PRV-ACTOTT-SKYWOACT4K1007-11189-92E605482AE96BBA93BBC8D2D37C6C530711C7F83A6135D2A3E5AC69A266B882,ACT ACTOTT Set Top Box,2021-01-09T16:57:27.662Z,2021-03-05T15:55:30.489Z,2021-01-09T17:11:09.514Z,2021-03-05T15:55:30.489Z,2021-01-09T16:57:27.662Z,2021-01-24T02:55:16.175Z,2021-01-09T17:11:09.514Z,2021-01-09T17:24:43.236Z,
Amy,NFCDCH-02-GXP4ZZNF8H7V9JVCVJLU25APA3UHA3,Chrome PC (Cadmium),2020-12-17T08:20:37.142Z,2021-01-06T05:12:39.315Z,2020-12-17T08:20:37.142Z,2021-01-06T04:51:10.047Z,2020-12-17T08:20:37.142Z,2021-01-06T05:12:39.315Z,2020-12-17T08:20:37.142Z,2021-01-06T04:51:10.047Z,
Daddy,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,FireTV Stick 2016,2019-12-12T10:40:42.849Z,2022-01-04T16:03:08.822Z,2020-01-06T13:18:53.453Z,2022-01-04T16:03:08.822Z,2020-01-10T11:57:31.372Z,2020-12-27T05:02:45.718Z,2020-01-10T11:57:31.372Z,2020-12-27T04:52:02.147Z,
Amy,NFUWA-001-3F35D5C288A602F6C9C40B7F7342838A065DEC70E297DEF6C719C992B75EFA70,Netflix Windows App - Cadmium Windows Mobile,2020-04-04T10:06:38.027Z,2020-12-16T17:01:34.663Z,2020-04-04T10:06:38.027Z,2020-12-16T16:57:27.916Z,2020-04-04T10:06:38.027Z,2020-12-16T17:01:34.663Z,2020-04-04T10:06:38.027Z,2020-12-16T16:57:27.916Z,
Amy,NFCDCH-02-GWWC9AGA3XLXN3NGEJ7DFD70XMM1V9,Chrome PC (Cadmium),2020-12-08T16:03:57.615Z,2020-12-15T15:09:32.094Z,2020-12-08T16:03:57.615Z,2020-12-15T15:09:32.094Z,2020-12-08T16:03:57.615Z,2020-12-15T15:09:32.094Z,2020-12-08T16:03:57.615Z,2020-12-15T15:09:32.094Z,
Big Mummy,NFANDROID1-PRV-P-L3-SAMSUSM-A207F-8158-0F7C03AB9605A455B0A1F7484A0DFD07739602B8A13DE27B663971A2D5B320000,Android DefaultWidevineL3Phone Android Phone,2020-11-29T10:57:30.303Z,2021-02-26T11:00:36.478Z,2020-11-29T10:57:30.303Z,2021-02-26T11:00:36.478Z,2020-11-29T10:57:30.303Z,2020-12-01T14:22:43.322Z,2020-11-29T10:57:30.303Z,2020-12-01T14:22:43.322Z,
Amy,NFCDCH-02-GV569RMQUQ1AUPKW7R86PWR390CMPL,Chrome PC (Cadmium),2020-11-16T15:27:35.944Z,2020-11-16T15:27:35.944Z,2020-11-16T15:27:35.944Z,2020-11-16T15:27:35.944Z,2020-11-16T15:27:35.944Z,2020-11-16T15:27:35.944Z,2020-11-16T15:27:35.944Z,2020-11-16T15:27:35.944Z,
Amy,NFAPPL-02-IPHONE10=1-F65FC728F5EA282B36C6096545253424D86D9FFC46E394B2C94F068A464C6FBC,Apple iPhone 8 (CDMA),2020-01-27T14:26:18.852Z,2020-10-27T14:19:43.792Z,2020-01-27T14:26:18.852Z,2020-10-27T14:19:43.792Z,2020-01-27T14:26:18.852Z,2020-10-27T14:19:43.792Z,2020-01-27T14:26:18.852Z,2020-10-27T14:19:43.792Z,
Raj,NFCDCH-02-DZT7L66C2HQHDX4RJ5A5QUEJ0977Y9,Chrome PC (Cadmium),2020-09-25T15:27:26.495Z,2020-09-25T15:33:23.929Z,2020-09-25T15:27:26.495Z,2020-09-25T15:33:23.929Z,2020-09-25T15:27:26.495Z,2020-09-25T15:33:23.929Z,2020-09-25T15:27:26.495Z,2020-09-25T15:33:23.929Z,
Raj,NFUWA-001-3F35D5C288A602F6C9C40B7F7342838A065DEC70E297DEF6C719C992B75EFA70,Netflix Windows App - Cadmium Windows Mobile,2020-04-04T10:06:38.027Z,2020-12-16T17:01:34.663Z,2020-04-04T10:06:38.027Z,2020-12-16T16:57:27.916Z,2020-07-29T15:42:34.288Z,2020-07-29T15:42:34.288Z,2020-07-29T15:42:34.288Z,2020-07-29T15:42:34.288Z,
Amy,NFCDCH-02-FH1GC6T1RT1R3L6Y1M58G0PRP1HLCJ,Chrome PC (Cadmium),2020-03-28T17:04:12.512Z,2020-07-24T09:21:29.775Z,2020-03-28T17:04:12.512Z,2020-07-24T09:21:29.775Z,2020-03-28T17:04:12.512Z,2020-07-24T09:21:29.775Z,2020-03-28T17:04:12.512Z,2020-07-24T09:21:29.775Z,
Amy,NFAPPL-02-IPHONE12=1-E6A8FE71C6673D0E3FB6A7DA6AB2EED0FE6D2C4B95EE2B1A1DA1B03A1738C92D,Apple iPhone 11,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-07-19T18:34:29.401Z,2020-07-19T18:34:29.401Z,2020-07-19T18:34:29.401Z,2020-07-19T18:34:29.401Z,
Amy,NFAPPL-02-IPHONE7=2-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 6,2020-01-06T13:04:15.195Z,2020-07-14T18:10:51.534Z,2020-01-06T13:04:15.195Z,2020-07-14T18:10:51.534Z,2020-01-06T13:04:15.195Z,2020-07-14T18:10:51.534Z,2020-01-06T13:04:15.195Z,2020-07-14T18:10:51.534Z,
Raj,NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,Apple Apple TV 4 Apple TV,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-01-12T14:38:54.688Z,2022-01-05T07:27:50.472Z,2020-03-26T13:12:35.195Z,2020-05-16T09:09:08.766Z,2020-03-26T13:12:35.195Z,2020-05-16T09:09:08.766Z,
Raj,NFANDROID1-PRV-P-L3-SAMSUSM-A505F-4445-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,Android DefaultWidevineL3Phone Android Phone,2020-02-02T19:21:56.694Z,2020-03-26T18:47:13.300Z,2020-02-02T19:21:56.694Z,2020-03-26T18:47:13.300Z,2020-02-02T19:21:56.694Z,2020-03-26T18:47:13.300Z,2020-02-02T19:21:56.694Z,2020-03-26T18:47:13.300Z,
Daddy,NFAPPL-04-APPLETV5=3-73EDC77DBC53D989F5D129939754CEA56B0710F52C4A2CAED7F0870C8EE7B151,Apple Apple TV 4 Apple TV,2020-02-29T03:42:00.733Z,2020-02-29T13:53:21.570Z,2020-02-29T03:42:00.733Z,2020-02-29T13:53:21.570Z,2020-02-29T03:42:00.733Z,2020-02-29T13:53:21.570Z,2020-02-29T03:42:00.733Z,2020-02-29T13:53:21.570Z,
Daddy,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-975AB0E332EEC197CE1EB4431FB9B9975BADDCC56F68C5612B2A13E1108032A9,FireTV 4K Stick 2018,2019-01-04T13:50:09.613Z,2019-03-21T15:35:30.128Z,,,2019-01-04T13:50:09.613Z,2019-03-21T15:35:30.128Z,,,
Amy,NFANDROID1-PRV-P-SAMSUSM-A505F-7176-07D568B1CB2FBBB999B53058CBB291FD96D79B7DEBCEDD57EDD9BF79694875DF7,DefaultWidevineAndroidPhone,,,,,,,,,
Amy,NFANDROID1-PRV-P-L3-HUAWEBND-AL10-4445-0D9EBE825038CBB2D93BE59EF3D283D5F2129311533577C217D24B6E0289A0415,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Amy,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-0EA0BDE552FD02313711C0A929D941E108E07CD17CC97C4281EC8B50652F741B,FireTV Stick 2016,,,,,,,,,
Amy,NFAPPL-02-IPHONE9=3-F65FC728F5EA282B36C6096545253424D86D9FFC46E394B2C94F068A464C6FBC,Apple iPhone 7 (GSM),,,,,,,,,
Amy,NFAPPL-02-IPHONE10=1-E6A8FE71C6673D0E3FB6A7DA6AB2EED0FE6D2C4B95EE2B1A1DA1B03A1738C92D,Apple iPhone 8 (CDMA),,,,,,,,,
Amy,HISETVK32000000000000000000000000001881043,Hisense MTK5657 on UHD platform Smart TV,,,,,,,,,
Amy,NFCDCH-02-DRMTNA2U1TMH6DT8DYN441WJQ0F8XK,Chrome PC (Cadmium),,,,,,,,,
Amy,NFANDROID1-PRV-P-L3-HUAWEBND-AL10-4445-0D7A61522DD4CE79EFB8D4DC5E33A68E10448AB8A2462961AAA36BEE7CC2D689B,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Amy,NFAPPL-02-IPHONE7=2-F65FC728F5EA282B36C6096545253424D86D9FFC46E394B2C94F068A464C6FBC,Apple iPhone 6,,,,,,,,,
Amy,NFANDROID1-PRV-P-L3-HUAWEBND-AL10-4445-020658A8905F05B085F721EAFD3E04E76E16165CEDE5724FB64F38D29A61A4BE6,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Amy,NFAPPL-02-IPHONE9=3-E6A8FE71C6673D0E3FB6A7DA6AB2EED0FE6D2C4B95EE2B1A1DA1B03A1738C92D,Apple iPhone 7 (GSM),,,,,,,,,
Amy,NFAPPL-02-IPHONE7=2-95C472D2EC850720EEF801871629C53459010DE32BB5EB94633CC9359A80EA45,Apple iPhone 6,,,,,,,,,
Amy,NFCDCH-02-E0F24ZW2YWY2WT4G1TDTJ2R7704TH0,Chrome PC (Cadmium),,,,,,,,,
Amy,NFCDIE-02-DZVGKEQ51D6EP2R46YW259JVHVUGWM,Edge (Cadmium),,,,,,,,,
Amy,NFCDIE-02-DZPX5XQWNWWPC4AY3TNVPYRW9WVYK5,Edge (Cadmium),,,,,,,,,
Amy,NFANDROID1-PRV-P-L3-ONEPLONEPLUS=A3003-4445-0B2D6D9F13AB5DF79C166C61737D824BACFC7054FE3F3852A012C5FCB10B9921,Android DefaultWidevineL3Phone Android Phone (OnePlus_ONEPLUS A3003),,,,,,,,,
Raj,NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,Android DefaultWidevineL3Phone Android Phone,2021-09-10T07:44:03.124Z,2021-12-30T05:19:02.410Z,2021-09-10T07:44:03.124Z,2021-12-30T05:19:02.410Z,2021-09-10T07:44:03.124Z,2021-12-30T05:19:02.410Z,2021-09-10T07:44:03.124Z,2021-12-30T05:19:02.410Z,2022-01-01T08:19:38.000Z
